cdm_name,denominator_cohort_name,outcome_cohort_name,incidence_start_date,incidence_end_date,analysis_censor_cohort_name,analysis_complete_database_intervals,analysis_outcome_washout,analysis_repeated_events,denominator_age_group,denominator_days_prior_observation,denominator_end_date,denominator_requirements_at_entry,denominator_sex,denominator_start_date,denominator_target_cohort_name,denominator_time_at_risk,denominator_count,outcome_count,person_days,person_years,incidence_100000_pys,incidence_100000_pys_95CI_lower,incidence_100000_pys_95CI_upper,result_type
mock,denominator_cohort_8,cohort_1,2021-03-12,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,243870,88,22173768,60708.468,144.955,116.258,178.589,tidy_incidence
mock,denominator_cohort_11,cohort_1,2021-08-08,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,215180,78,19553773,53535.313,145.698,115.168,181.838,tidy_incidence
mock,denominator_cohort_14,cohort_1,2022-05-28,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,140053,52,12725600,34840.794,149.25,111.467,195.722,tidy_incidence
mock,denominator_cohort_17,cohort_1,2022-10-17,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,72276,35,6487842,17762.743,197.042,137.247,274.037,tidy_incidence
mock,denominator_cohort_20,cohort_1,2023-05-08,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,30630,22,2741287,7505.235,293.129,183.702,443.8,tidy_incidence
mock,denominator_cohort_23,cohort_1,2023-09-20,2024-03-31,None,FALSE,inf,FALSE,50 to 64,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,10883,7,962242,2634.475,265.708,106.828,547.459,tidy_incidence
mock,denominator_cohort_3,cohort_1,2021-02-01,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_0,0 to Inf,358050,6059,73428101,201035.184,3013.9,2938.484,3090.763,tidy_incidence
mock,denominator_cohort_6,cohort_1,2021-02-22,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_1,0 to Inf,332122,288,7460070,20424.559,1410.067,1251.901,1582.684,tidy_incidence
mock,denominator_cohort_9,cohort_1,2021-03-15,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_2,0 to Inf,330987,977,30073617,82337.076,1186.586,1113.338,1263.387,tidy_incidence
mock,denominator_cohort_12,cohort_1,2021-05-15,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_3,0 to Inf,316603,1033,28760253,78741.281,1311.891,1233.1,1394.397,tidy_incidence
mock,denominator_cohort_15,cohort_1,2022-05-16,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_4,0 to Inf,288937,933,26246355,71858.604,1298.383,1216.396,1384.442,tidy_incidence
mock,denominator_cohort_18,cohort_1,2022-10-24,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_5,0 to Inf,251655,840,22844685,62545.339,1343.026,1253.727,1437.006,tidy_incidence
mock,denominator_cohort_21,cohort_1,2023-01-30,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_6,0 to Inf,198775,524,17999604,49280.23,1063.307,974.202,1158.371,tidy_incidence
mock,denominator_cohort_24,cohort_1,2023-09-12,2024-03-31,None,FALSE,inf,FALSE,65 to 89,0,2024-03-31,FALSE,Both,2021-02-01,cohort_7,0 to Inf,155173,469,13966626,38238.538,1226.511,1118.006,1342.703,tidy_incidence
